Spillage People Oil Goods
The Crude Oil Company
Drilling 4 Freedom
Extra Virgin Oil Fields
Greased Up Products
Plainview's	Dynamic	Pumpjack	Inc.
Midnight	Black Gold Ashphalt Industries
Jimmy's	Oils and 	Processing	Corporation 
Sustainable	Efficient	Fuel	Syndicate
The	Friendly	Gasoline	Enterprise
Cranker's	Helpful	Kerosene	Refinery
Tabitha's	Classy	Lubricants	Association
Ominous	Refined	Tar	Multinational
Starburst	Precise	Petrol	Company
Prospector	Capable	Propellant	Organisation
Greasy	Productive	Gas	Congolomorate
Slick Rick's	Systematic	Combustion	League
Rio Clinko	Competent	Drilling	Alliance
